state,series,observations,missing_rate,duplicate_dates,large_zscore_count,release_lag_days
AZ,payroll,119,0.008333333333333333,0,1,21
AZ,coincident,119,0.008333333333333333,0,1,21
AZ,claims,119,0.008333333333333333,0,1,7
AZ,national_activity,120,0.0,0,0,21
CA,payroll,119,0.008333333333333333,0,1,21
CA,coincident,119,0.008333333333333333,0,1,21
CA,claims,119,0.008333333333333333,0,1,7
CA,national_activity,120,0.0,0,0,21
FL,payroll,119,0.008333333333333333,0,1,21
FL,coincident,119,0.008333333333333333,0,1,21
FL,claims,119,0.008333333333333333,0,1,7
FL,national_activity,120,0.0,0,0,21
IL,payroll,119,0.008333333333333333,0,1,21
IL,coincident,119,0.008333333333333333,0,1,21
IL,claims,119,0.008333333333333333,0,1,7
IL,national_activity,120,0.0,0,0,21
MI,payroll,119,0.008333333333333333,0,1,21
MI,coincident,119,0.008333333333333333,0,1,21
MI,claims,119,0.008333333333333333,0,1,7
MI,national_activity,120,0.0,0,0,21
NC,payroll,119,0.008333333333333333,0,1,21
NC,coincident,119,0.008333333333333333,0,1,21
NC,claims,119,0.008333333333333333,0,2,7
NC,national_activity,120,0.0,0,0,21
NY,payroll,119,0.008333333333333333,0,1,21
NY,coincident,119,0.008333333333333333,0,1,21
NY,claims,119,0.008333333333333333,0,1,7
NY,national_activity,120,0.0,0,0,21
OH,payroll,119,0.008333333333333333,0,1,21
OH,coincident,119,0.008333333333333333,0,1,21
OH,claims,119,0.008333333333333333,0,2,7
OH,national_activity,120,0.0,0,0,21
PA,payroll,119,0.008333333333333333,0,1,21
PA,coincident,119,0.008333333333333333,0,1,21
PA,claims,119,0.008333333333333333,0,1,7
PA,national_activity,120,0.0,0,0,21
TX,payroll,119,0.008333333333333333,0,1,21
TX,coincident,119,0.008333333333333333,0,1,21
TX,claims,119,0.008333333333333333,0,1,7
TX,national_activity,120,0.0,0,0,21
AZ,real_gdp,40,0.0,0,0,90
CA,real_gdp,40,0.0,0,0,90
FL,real_gdp,40,0.0,0,0,90
IL,real_gdp,40,0.0,0,0,90
MI,real_gdp,40,0.0,0,0,90
NC,real_gdp,40,0.0,0,0,90
NY,real_gdp,40,0.0,0,0,90
OH,real_gdp,40,0.0,0,0,90
PA,real_gdp,40,0.0,0,0,90
TX,real_gdp,40,0.0,0,0,90
