state,indicator,lead_quarters,correlation,abs_correlation,observations
IL,coincident,0,0.9082129183945835,0.9082129183945835,39
MI,coincident,0,0.9072868898379465,0.9072868898379465,39
OH,coincident,0,0.8886303872839089,0.8886303872839089,39
FL,coincident,0,0.8657094034048607,0.8657094034048607,39
NY,payroll,0,0.8513158332837313,0.8513158332837313,39
IL,payroll,0,0.8512369654720211,0.8512369654720211,39
PA,coincident,0,0.8502555213344052,0.8502555213344052,39
PA,payroll,0,0.8443550828008622,0.8443550828008622,39
AZ,coincident,0,0.8442107015138699,0.8442107015138699,39
NY,coincident,0,0.8418265072972158,0.8418265072972158,39
CA,coincident,0,0.8388120864252777,0.8388120864252777,39
NC,coincident,0,0.8385114616385286,0.8385114616385286,39
MI,payroll,0,0.8309538705206955,0.8309538705206955,39
OH,payroll,0,0.8167146041990175,0.8167146041990175,39
NC,payroll,0,0.813446728416343,0.813446728416343,39
TX,coincident,0,0.7466703822090025,0.7466703822090025,39
FL,payroll,0,0.7293249501761169,0.7293249501761169,39
PA,claims,0,-0.7277860427110411,0.7277860427110411,39
TX,payroll,0,0.7151956588395108,0.7151956588395108,39
NY,claims,0,-0.7122634724998249,0.7122634724998249,39
CA,payroll,0,0.7113096543462923,0.7113096543462923,39
NC,claims,0,-0.6982850036792986,0.6982850036792986,39
IL,claims,0,-0.6971541710701945,0.6971541710701945,39
FL,claims,0,-0.6953074281431632,0.6953074281431632,39
TX,claims,0,-0.6860165123479873,0.6860165123479873,39
CA,claims,0,-0.6750874179142909,0.6750874179142909,39
AZ,payroll,0,0.6683649432437154,0.6683649432437154,39
AZ,claims,0,-0.6281579082214643,0.6281579082214643,39
FL,claims,1,0.6192059297564597,0.6192059297564597,39
OH,claims,0,-0.6044577597262935,0.6044577597262935,39
MI,claims,0,-0.590333836097752,0.590333836097752,39
AZ,claims,1,0.5877863722310324,0.5877863722310324,39
CA,payroll,1,-0.5848312112730826,0.5848312112730826,39
MI,payroll,1,-0.584464022766524,0.584464022766524,39
NC,coincident,1,-0.5756485654115103,0.5756485654115103,39
AZ,payroll,1,-0.5699856895731982,0.5699856895731982,39
OH,payroll,1,-0.5694893858248422,0.5694893858248422,39
NC,payroll,1,-0.5607012910179775,0.5607012910179775,39
MI,coincident,1,-0.559196486128533,0.559196486128533,39
MI,claims,1,0.5539745651145624,0.5539745651145624,39
PA,payroll,1,-0.5424495128771368,0.5424495128771368,39
PA,coincident,1,-0.5416290698205615,0.5416290698205615,39
OH,coincident,1,-0.5124604676547654,0.5124604676547654,39
CA,claims,1,0.49852719916782756,0.49852719916782756,39
NY,coincident,1,-0.48873389156485075,0.48873389156485075,39
AZ,coincident,1,-0.4880122050714869,0.4880122050714869,39
IL,payroll,1,-0.48731213669354473,0.48731213669354473,39
TX,claims,1,0.4838124830978391,0.4838124830978391,39
FL,payroll,1,-0.46957458633418286,0.46957458633418286,39
CA,coincident,1,-0.46902787599246176,0.46902787599246176,39
FL,coincident,1,-0.46711783243137045,0.46711783243137045,39
NY,payroll,1,-0.4630609969277673,0.4630609969277673,39
TX,payroll,1,-0.4252650755513445,0.4252650755513445,39
NC,claims,2,0.4024608313035207,0.4024608313035207,38
OH,claims,2,0.37551003117814885,0.37551003117814885,38
TX,coincident,1,-0.37238261175473986,0.37238261175473986,39
IL,claims,1,0.3698025937803224,0.3698025937803224,39
PA,claims,1,0.3658025814753402,0.3658025814753402,39
IL,coincident,1,-0.36523125359855163,0.36523125359855163,39
NY,claims,1,0.3483864154320106,0.3483864154320106,39
IL,claims,3,0.2895780021727324,0.2895780021727324,37
OH,claims,3,0.2711404131254489,0.2711404131254489,37
AZ,claims,2,0.24284043778211442,0.24284043778211442,38
CA,national_activity,1,-0.23747652210484413,0.23747652210484413,39
TX,national_activity,0,0.23173126573105926,0.23173126573105926,39
AZ,payroll,2,-0.20860570132186013,0.20860570132186013,38
NC,claims,1,0.20360373822223704,0.20360373822223704,39
PA,claims,2,0.1910442142100378,0.1910442142100378,38
FL,claims,4,0.18533734424009526,0.18533734424009526,36
FL,payroll,4,-0.1800443488823789,0.1800443488823789,36
MI,national_activity,1,-0.17999706324919484,0.17999706324919484,39
CA,claims,3,0.1739838635540394,0.1739838635540394,37
TX,national_activity,4,0.17044421595897638,0.17044421595897638,36
OH,payroll,2,-0.16441504285281244,0.16441504285281244,38
NY,national_activity,1,-0.15936380437303369,0.15936380437303369,39
CA,claims,2,0.15891689338710097,0.15891689338710097,38
FL,national_activity,1,-0.15882115835590216,0.15882115835590216,39
TX,national_activity,3,0.15840765589462039,0.15840765589462039,37
NY,claims,2,0.15839594650255093,0.15839594650255093,38
OH,national_activity,1,-0.15818019606930822,0.15818019606930822,39
IL,national_activity,1,-0.1520930565612682,0.1520930565612682,39
PA,national_activity,1,-0.1512683696044402,0.1512683696044402,39
FL,coincident,4,-0.15045664258793864,0.15045664258793864,36
MI,claims,2,0.14923765477049772,0.14923765477049772,38
AZ,coincident,2,-0.14637259573042605,0.14637259573042605,38
AZ,national_activity,1,-0.14072051184031645,0.14072051184031645,39
CA,payroll,2,-0.14059767943619325,0.14059767943619325,38
CA,payroll,3,-0.14055955486466015,0.14055955486466015,37
CA,coincident,2,-0.13711600610912997,0.13711600610912997,38
TX,national_activity,2,0.1369599207296488,0.1369599207296488,38
IL,claims,4,0.13521904588799696,0.13521904588799696,36
IL,coincident,4,-0.13165583816919155,0.13165583816919155,36
IL,payroll,4,-0.12936242605802353,0.12936242605802353,36
CA,coincident,3,-0.12688785790754875,0.12688785790754875,37
MI,payroll,2,-0.12499097642954468,0.12499097642954468,38
PA,claims,3,0.12488813163455822,0.12488813163455822,37
NY,payroll,2,-0.12360784606296146,0.12360784606296146,38
IL,coincident,3,-0.1231648159996104,0.1231648159996104,37
IL,payroll,3,-0.1224077390212906,0.1224077390212906,37
CA,payroll,4,-0.12040730990637642,0.12040730990637642,36
PA,payroll,2,-0.12035723587478393,0.12035723587478393,38
NY,payroll,4,-0.11264046991179656,0.11264046991179656,36
CA,coincident,4,-0.11258494139313913,0.11258494139313913,36
NY,claims,4,0.1083038027232943,0.1083038027232943,36
TX,claims,3,0.10823157494493318,0.10823157494493318,37
CA,claims,4,0.10801324425622796,0.10801324425622796,36
TX,claims,2,0.10740955861603543,0.10740955861603543,38
NC,national_activity,0,0.10490628982802819,0.10490628982802819,39
NY,coincident,4,-0.10392288563835267,0.10392288563835267,36
OH,coincident,4,-0.10098279942084903,0.10098279942084903,36
TX,coincident,2,-0.0970139193813074,0.0970139193813074,38
OH,coincident,2,-0.09682995249692666,0.09682995249692666,38
MI,claims,4,0.0961706001214449,0.0961706001214449,36
NC,national_activity,1,-0.09378498019322598,0.09378498019322598,39
MI,claims,3,0.09302090973168359,0.09302090973168359,37
PA,coincident,2,-0.09037074843643235,0.09037074843643235,38
OH,claims,1,0.08076791635103876,0.08076791635103876,39
NY,coincident,2,-0.07913017837590784,0.07913017837590784,38
NC,claims,4,0.07825475035413525,0.07825475035413525,36
NY,coincident,3,0.07645270443989267,0.07645270443989267,37
NY,payroll,3,0.07442263765151531,0.07442263765151531,37
OH,payroll,4,-0.07337973609504264,0.07337973609504264,36
CA,national_activity,2,-0.073194801014257,0.073194801014257,38
MI,payroll,4,-0.07317860533143138,0.07317860533143138,36
NC,national_activity,2,0.07125352757097667,0.07125352757097667,38
CA,national_activity,3,-0.07033614025806902,0.07033614025806902,37
AZ,claims,3,-0.0691061649947728,0.0691061649947728,37
MI,coincident,3,0.06903581372933455,0.06903581372933455,37
MI,payroll,3,0.06768918211546095,0.06768918211546095,37
TX,coincident,4,-0.06450571695600059,0.06450571695600059,36
PA,coincident,3,0.06180112669465646,0.06180112669465646,37
NC,coincident,4,-0.0611231821685184,0.0611231821685184,36
NC,national_activity,3,0.06072626516807307,0.06072626516807307,37
PA,coincident,4,-0.06023410103555083,0.06023410103555083,36
NC,national_activity,4,0.05974893572873849,0.05974893572873849,36
MI,coincident,4,-0.05974537753659589,0.05974537753659589,36
PA,payroll,3,0.05959455969426775,0.05959455969426775,37
PA,payroll,4,-0.05661919234417411,0.05661919234417411,36
NC,payroll,4,-0.05571678331309538,0.05571678331309538,36
MI,coincident,2,-0.05536754896731436,0.05536754896731436,38
NC,claims,3,0.05453849597166973,0.05453849597166973,37
IL,national_activity,0,0.05424686033179796,0.05424686033179796,39
CA,national_activity,4,-0.0540954131893428,0.0540954131893428,36
TX,payroll,3,-0.05314335625260551,0.05314335625260551,37
OH,claims,4,0.05271523221136524,0.05271523221136524,36
FL,coincident,3,0.052561254257736056,0.052561254257736056,37
FL,claims,3,0.05199433534327584,0.05199433534327584,37
NY,national_activity,4,-0.05081997844017091,0.05081997844017091,36
AZ,national_activity,0,0.050802497109050715,0.050802497109050715,39
PA,national_activity,0,0.05045513006252778,0.05045513006252778,39
TX,coincident,3,-0.04731097833298857,0.04731097833298857,37
NY,national_activity,0,0.04479049068913148,0.04479049068913148,39
FL,national_activity,0,0.043868943318647775,0.043868943318647775,39
TX,claims,4,0.041018016197733716,0.041018016197733716,36
CA,national_activity,0,-0.04056514843565961,0.04056514843565961,39
TX,national_activity,1,0.04028656223924659,0.04028656223924659,39
IL,coincident,2,-0.03813414420768006,0.03813414420768006,38
OH,national_activity,4,0.03576099789444719,0.03576099789444719,36
OH,national_activity,0,0.03557392854283823,0.03557392854283823,39
AZ,coincident,3,0.03379000700195645,0.03379000700195645,37
NC,payroll,3,-0.03350439216763842,0.03350439216763842,37
IL,claims,2,0.0333175066846285,0.0333175066846285,38
FL,payroll,3,0.032192476179523165,0.032192476179523165,37
TX,payroll,4,-0.031932128099278756,0.031932128099278756,36
AZ,coincident,4,-0.03127314105921057,0.03127314105921057,36
FL,payroll,2,-0.030420542348734134,0.030420542348734134,38
MI,national_activity,3,0.02815060045385463,0.02815060045385463,37
PA,national_activity,3,0.02781223432550023,0.02781223432550023,37
OH,national_activity,3,0.026597004732028105,0.026597004732028105,37
TX,payroll,2,-0.02637569806989676,0.02637569806989676,38
IL,national_activity,4,0.025067235807677633,0.025067235807677633,36
AZ,claims,4,0.023508390153338603,0.023508390153338603,36
NY,claims,3,0.0231707280333869,0.0231707280333869,37
PA,claims,4,0.021504643570073124,0.021504643570073124,36
IL,payroll,2,-0.01924604061134585,0.01924604061134585,38
OH,national_activity,2,0.01799369582154787,0.01799369582154787,38
MI,national_activity,2,0.017928611823287807,0.017928611823287807,38
AZ,payroll,3,0.017654938310978915,0.017654938310978915,37
FL,national_activity,3,-0.0171624317897482,0.0171624317897482,37
FL,coincident,2,0.016801679871080364,0.016801679871080364,38
FL,national_activity,4,-0.012921016352745595,0.012921016352745595,36
PA,national_activity,4,0.012679054136962447,0.012679054136962447,36
PA,national_activity,2,0.01238324485562397,0.01238324485562397,38
NC,coincident,3,-0.012220575356879869,0.012220575356879869,37
MI,national_activity,4,0.011418919348039586,0.011418919348039586,36
OH,coincident,3,0.010013775357111732,0.010013775357111732,37
NY,national_activity,3,0.007432109241539263,0.007432109241539263,37
MI,national_activity,0,0.006797461461861147,0.006797461461861147,39
NC,coincident,2,-0.0059185410108947385,0.0059185410108947385,38
AZ,national_activity,4,-0.005883721513547093,0.005883721513547093,36
FL,claims,2,-0.005664516569748903,0.005664516569748903,38
IL,national_activity,2,-0.005106411148725885,0.005106411148725885,38
OH,payroll,3,-0.0048886861467019455,0.0048886861467019455,37
NY,national_activity,2,-0.004550496081209858,0.004550496081209858,38
FL,national_activity,2,0.0036633388471452974,0.0036633388471452974,38
AZ,national_activity,3,0.0030308635838461845,0.0030308635838461845,37
AZ,national_activity,2,0.0030197139689381062,0.0030197139689381062,38
AZ,payroll,4,-0.002946467011295488,0.002946467011295488,36
NC,payroll,2,0.0006937450758866073,0.0006937450758866073,38
IL,national_activity,3,-0.00029523559516902667,0.00029523559516902667,37
