source_state,target_state,indicator,lead_quarters,correlation,observations
MT,MI,coincident,1,-0.6958355241623055,39
NY,MI,coincident,1,-0.6902643068049504,39
AR,MI,coincident,1,-0.687897911553031,39
MD,MI,coincident,1,-0.6751910266340765,39
NY,AL,coincident,1,-0.66875969926434,39
ND,MI,coincident,1,-0.6655583124577817,39
NC,MI,coincident,1,-0.6648635011593772,39
MD,AR,coincident,1,-0.6643367025136769,39
MD,MS,coincident,1,-0.6631799315771657,39
GA,MI,coincident,1,-0.6621744661575745,39
MD,AL,coincident,1,-0.6602860093135723,39
MT,MS,coincident,1,-0.6590937298713206,39
WI,MI,coincident,1,-0.6586458736738906,39
OR,MI,coincident,1,-0.6579904183443416,39
AR,AL,coincident,1,-0.657732764217173,39
WI,AL,coincident,1,-0.6549463348414658,39
AR,MS,coincident,1,-0.6546341589250811,39
NY,MS,coincident,1,-0.6525937106921292,39
OK,MI,coincident,1,-0.6524222402183087,39
AR,KY,coincident,1,-0.6521752153259881,39
MT,AL,coincident,1,-0.6508872298633828,39
NY,KY,coincident,1,-0.6507016908983414,39
PA,MI,coincident,1,-0.6500316833018023,39
OR,AL,coincident,1,-0.6498463079237289,39
MA,MI,coincident,1,-0.6496831113380223,39
MT,ID,coincident,1,-0.6488174943105119,39
NC,AL,coincident,1,-0.6486324663616421,39
MN,MI,coincident,1,-0.6481810095653291,39
ID,AL,coincident,1,-0.6480252126869315,39
KS,MI,coincident,1,-0.6463119594823966,39
VA,MI,coincident,1,-0.6461619299523745,39
KS,AL,coincident,1,-0.6454506855216864,39
MT,KY,coincident,1,-0.6451287545033697,39
CO,AL,coincident,1,-0.6448864445658623,39
IA,AL,coincident,1,-0.6437571926202462,39
ID,MI,coincident,1,-0.6434984599345555,39
OK,AL,coincident,1,-0.6432272272567063,39
MD,IN,coincident,1,-0.6432128809054293,39
SD,MI,coincident,1,-0.6423316267726448,39
MN,AL,coincident,1,-0.6414233096999234,39
MA,AL,coincident,1,-0.6410700889987853,39
MD,KY,coincident,1,-0.640428554171184,39
AR,IN,coincident,1,-0.6404172912597527,39
AR,ID,coincident,1,-0.6404101424125404,39
WI,KY,coincident,1,-0.6397109855333957,39
IA,MI,coincident,1,-0.6396188150437355,39
PA,AL,coincident,1,-0.6393828659479946,39
CO,MI,coincident,1,-0.6381208308708307,39
NY,IN,coincident,1,-0.6370403986062021,39
NY,AR,coincident,1,-0.6363897228305017,39
MT,SC,coincident,1,-0.6361510322301537,39
LA,MI,coincident,1,-0.635811376487334,39
TN,MI,coincident,1,-0.6357816890893038,39
SD,AL,coincident,1,-0.6353075467772373,39
ND,AL,coincident,1,-0.6332451233839015,39
AR,SC,coincident,1,-0.6329658770814669,39
RI,MI,coincident,1,-0.632827633134022,39
AZ,MI,coincident,1,-0.6326646296714633,39
MT,IN,coincident,1,-0.6325982602577805,39
NY,WA,coincident,1,-0.6322127830770626,39
NY,SC,coincident,1,-0.6321508480590553,39
WI,SC,coincident,1,-0.6316198770588198,39
MT,OH,coincident,1,-0.631249183288514,39
GA,AL,coincident,1,-0.6309485002851348,39
OR,KY,coincident,1,-0.6307561370777544,39
MO,MI,coincident,1,-0.630250194649434,39
AR,OH,coincident,1,-0.6297009461640128,39
WI,MS,coincident,1,-0.6293225588292123,39
NC,KY,coincident,1,-0.6288701596632176,39
OK,KY,coincident,1,-0.6285020683711486,39
KS,KY,coincident,1,-0.627757381702734,39
MD,ID,coincident,1,-0.6277520381396211,39
NJ,MI,coincident,1,-0.6274990809414693,39
MD,SC,coincident,1,-0.6273072075097061,39
NJ,AL,coincident,1,-0.6261466014313629,39
NC,SC,coincident,1,-0.6258636454196135,39
CO,AR,coincident,1,-0.6255037955021602,39
TX,MI,coincident,1,-0.6249151683964478,39
ID,SC,coincident,1,-0.6245239974087502,39
MD,OH,coincident,1,-0.6239416650608428,39
ND,MS,coincident,1,-0.6238606377755609,39
IA,AR,coincident,1,-0.6238324534297227,39
OR,AR,coincident,1,-0.6233647557362499,39
SD,KY,coincident,1,-0.6231524627560066,39
CO,MS,coincident,1,-0.6229275027387486,39
GA,MS,coincident,1,-0.6227766818706776,39
